PMC,Mg,Al,Ca,Ti,Fe,Si,image_i,image_j
295,0.5514,0.0372,27.4188,0.0,0.0473,0.0,397.35,187.3
296,0.4453,0.0113,26.6954,0.0223,0.0221,0.0004,397.39,189.53
297,0.2585,0.1326,53.4274,0.0,0.0829,0.0,397.43,191.77
298,0.474,0.0724,29.3411,0.0,0.0446,0.0,397.47,194.01
299,0.5722,0.0602,29.2198,0.0,0.0366,0.0,397.51,196.25
300,0.7038,0.0087,30.2907,0.0,0.0427,0.0,397.55,198.5
301,0.6145,0.0887,26.7732,0.0,0.0494,0.0,397.59,200.75
302,0.3554,0.058,28.9877,0.0,0.041,0.0,397.62,203.01
303,0.5878,0.0214,26.586,0.0,0.05,0.0,397.67,205.27
304,0.2483,0.0743,29.4881,0.0,0.1075,0.003,397.71,207.52
305,0.3703,0.0335,28.4446,0.0,0.1252,0.015,397.75,209.79
306,0.6028,0.0393,25.9989,0.0,0.0936,0.0,397.79,212.06
307,0.4909,0.039,24.8098,0.0,0.3414,0.0,397.83,214.33
308,0.186,0.0,26.9326,0.0,0.2521,0.0051,397.87,216.61
309,0.394,0.0384,27.173,0.0,0.3579,0.0,397.91,218.89
310,0.4041,0.0253,26.1941,0.0,0.3256,0.0,397.95,221.17
311,0.5218,0.0537,25.8897,0.0235,0.4717,0.0128,397.99,223.46
312,0.4245,0.0282,28.5574,0.0,0.1274,0.0,398.03,225.75
313,0.4024,0.0274,28.9809,0.0,0.0799,0.0,398.07,228.04
314,0.1533,0.0271,26.0046,0.0,0.0462,0.0068,398.11,230.34
315,0.3782,0.0261,29.6768,0.0,0.0299,0.0,398.15,232.64
316,0.4937,0.1332,31.4404,0.0,0.0443,0.0,398.19,234.95
317,0.2284,0.0647,29.996,0.0051,0.0516,0.0028,398.23,237.25
318,0.5455,0.0117,29.2758,0.0,0.0593,0.0,398.27,239.57
319,0.5292,0.0265,30.3159,0.0,0.0752,0.0,398.32,241.88
320,0.4819,0.0432,33.2392,0.0,0.0624,0.0,398.36,244.2
321,0.4971,0.0052,26.8999,0.0,0.03,0.0,398.39,246.53
322,0.1402,0.0195,27.4468,0.0,0.0582,0.0,398.44,248.85
323,0.5102,0.092,30.8429,0.0,0.0744,0.0,398.48,251.18
324,0.2267,0.0514,26.4273,0.0,0.025,0.0,398.52,253.51
325,0.4378,0.0465,29.0671,0.0,0.0549,0.0,398.56,255.85
326,0.5879,0.0446,29.1604,0.0239,0.1073,0.0,398.6,258.19
327,0.4729,0.0402,26.6163,0.0159,0.4717,0.0,398.64,260.54
328,0.4809,0.0536,23.655,0.0,0.3774,0.0,398.68,262.89
329,0.193,0.0336,28.1872,0.0152,0.2079,0.0,398.73,265.24
330,0.3982,0.0563,24.8759,0.0002,0.2997,0.0045,398.77,267.6
331,0.4276,0.0357,26.6775,0.0186,0.3181,0.0,398.81,269.95
332,0.3434,0.0341,25.0823,0.0195,0.1948,0.0072,398.85,272.32
